Event_Name,CharacterImageSerialNumber,케릭터 이름,대사,선택지가 있는가?,선택지 대사,선택후 대사,변경할 배경 번호,주사위를 굴리는가?,주사위 대사,주사위 종류,대상 스탯,이벤트 후 대사,어떤 리셋인가?,아이템 번호,다음 장면,서브화면
Example,0,,당신은 9층에 도착했다. 스위트룸에 해당하는 층이며@ 그에 맞게 복도부터 고급스러움이 물씬 느껴진다.  ,,,,,,,,,,,,,
,0,,바닥에는 러그가 깔려있고@ 벽지 또한 고급스러워 보인다.,,,,,,,,,,,,,
,0,,여기 저기를 둘러 보던 그 때@ 당신은 어디선가 당신을 부르는 듯한 느낌을 받는다.,,,,,,,,,,,,,
,0,,누가 당신을 찾는 것일까?,,,,,,,,,,,,,
,0,,그러나 당신은 이 층이 당신을 환영하지 않는 것 같다는 생각이 든다. ,,,,,,,,,,,,,
,0,12,그것도 그럴 것이@ 복도로 발을 뻗자 마자 당신의 생명력을 갈망하는 존재들이 등장했기 때문이다.,,,,,,,,,,,,,17
,0,,그것은 눈이라고 부를 것이 없으며@ 긴 두 팔을 앞으로 늘어뜨려 놓고 거친 숨을 몰아 쉬고 있다.   ,,,,,,,,,,,,,
,0,,얼굴에 어떤 기관이 나와 있으며@ 그것이 파르르 떨리는 것이 그것으로 무엇 인가를 감지하는 듯 했다.,,,,,,,,,,,,,
,0,,그것은 입을 크게 벌리고 들어서는 안 될 듯한 끔찍한 소리를 내고 있다.,,,,,,,,,,,,,
,0,,꼴에 예의를 차리는 것인지 단정한 양복을 갖춰 입고 있으나@ 그것이 그것이 가지고 있는 뾰족한 가시까진 가려 줄 순 없었다.,,,,,1,,,,,,,,
end,,,,,,,,,,,,,,,,
check1,0,,,,,,,,이해의 범주를 뛰어넘는 위험에 당신의 이성이 흔들린다.,1d6,desan,d1,,,,
end,,,,,,,,,,,,,,,,
d1,0,,그들은 당신의 바로 앞에 서 있지만 당신을 인지하지는 못하고 있는 듯 했다.,,,,,,,,,,,,,
,0,,당신은 최대한 조심하려 애쓴다.,,,,,,,,,,,,,
,0,,당신이 그들을 자세히 관찰한 결과 엘레베이터의 소리에 반응 한 것 같다는 결론을 내린다.,,,,,,,,,,,,,
,0,,그것들은 한참동안을 그곳에 서 있다@ 아무 반응도 없자 그대로 미동도 없이 가만히 휴면 상태에 빠지는 듯 하다.,,,,,,,,,,,,,
,0,,낮게 그르렁 거리는 숨 소리가 들린다. 당신은 숨을 죽인 채 경계한다.,,,,,,,,,,,,,
,0,,당신의 주저함을 안 것일까 당신을 이전보다 더 큰@ 당신을 부르는 의지를 느낀다.,,,,,,,,,,,,,
,0,,당신은 반 쯤은 자의로 반 쯤은 타의로 몸을 움직인다.,,,,,,,,,,,,-6,
end,,,,,,,,,,,,,,,,